order_id,order_date,customer_id,customer_segment,region,country,sales_channel,campaign,product_category,product_name,sku,units,unit_price_usd,discount_pct,gross_revenue_usd,discount_amount_usd,refund_amount_usd,shipping_cost_usd,cogs_usd,net_revenue_usd,gross_margin_usd,fulfillment_days,status,first_order
ord_0000025,2025-01-01,cust_04454,Occasional,North America,United States,Paid Search,Nonbrand Search,Beauty,Hair Styling Kit,BEA-008,1,146.34,0.1,146.34,14.63,0,6.32,64.39,131.7,61.0,3,Delivered,True
ord_0000026,2025-01-04,cust_04686,Loyal,EMEA,United Kingdom,Paid Search,Shopping Ads,Fitness,Recovery Roller,FIT-006,2,50.83,0.05,101.67,5.08,0,13.48,41.68,96.58,41.42,5,Delivered,True
ord_0000027,2025-01-01,cust_01478,New,North America,United States,Affiliate,Cashback Partner,Fitness,Adjustable Kettlebell,FIT-005,3,134.23,0.05,402.69,20.13,0,0,209.4,382.55,173.15,2,Delivered,True
ord_0000028,2025-01-05,cust_03052,Occasional,APAC,Japan,Affiliate,Cashback Partner,Home,Linen Sheet Set,HOM-003,3,110.96,0.1,332.88,33.29,0,0,153.13,299.6,146.47,5,Delivered,True
ord_0000029,2025-01-01,cust_04849,VIP,North America,United States,Affiliate,Cashback Partner,Apparel,Performance Jacket,APP-009,1,157.74,0.05,157.74,7.89,0,0,74.14,149.86,75.72,4,Delivered,True
ord_0000030,2025-01-07,cust_01486,New,EMEA,Germany,Direct,,Apparel,Performance Jacket,APP-009,3,177.57,0,532.72,0.0,479.85,0,250.38,52.87,-197.51,5,Returned,True
ord_0000031,2025-01-01,cust_04307,Loyal,Latin America,Brazil,Direct,Email Lifecycle,Apparel,Everyday Sneaker,APP-010,2,109.67,0.1,219.34,21.93,0,0,98.7,197.4,98.7,2,Delivered,True
ord_0000032,2025-01-02,cust_04595,New,North America,Canada,Marketplace,,Beauty,Hair Styling Kit,BEA-008,1,141.4,0,141.4,0.0,100.03,13.02,62.22,41.37,-33.86,1,Returned,True
ord_0000033,2025-01-10,cust_04985,New,North America,United States,Direct,,Apparel,Performance Jacket,APP-009,1,160.86,0.2,160.86,32.17,107.75,0,75.6,20.93,-54.67,9,Returned,True
ord_0000034,2025-01-01,cust_05359,Loyal,North America,Canada,Direct,Referral,Apparel,Everyday Sneaker,APP-010,1,114.88,0.05,114.88,5.74,0,7.28,51.7,109.14,50.16,2,Delivered,True
ord_0000035,2025-01-04,cust_04955,Loyal,EMEA,United Kingdom,Social,Retargeting,Fitness,Adjustable Kettlebell,FIT-005,1,158.51,0.15,158.51,23.78,0,0,82.43,134.74,52.31,2,Delivered,True
ord_0000036,2025-01-03,cust_01978,Occasional,North America,Canada,Direct,,Beauty,Hair Styling Kit,BEA-008,1,133.05,0,133.05,0.0,0,13.44,58.54,133.05,61.07,3,Delivered,True
ord_0000037,2025-01-01,cust_03803,Occasional,North America,Canada,Direct,Email Lifecycle,Electronics,Smart Home Hub,ELE-002,1,167.24,0,167.24,0.0,0,0,97.0,167.24,70.24,3,Delivered,True
ord_0000038,2025-01-04,cust_01794,Loyal,North America,United States,Direct,,Home,Linen Sheet Set,HOM-003,1,115.29,0,115.29,0.0,0,7.91,53.03,115.29,54.35,3,Delivered,True
ord_0000039,2025-01-01,cust_06835,New,North America,United States,Affiliate,Publisher Network,Fitness,Recovery Roller,FIT-006,1,57.79,0.2,57.79,11.56,0,7.93,23.69,46.23,14.6,2,Delivered,True
ord_0000040,2025-01-01,cust_03863,Loyal,EMEA,France,Paid Search,Brand Search,Apparel,Everyday Sneaker,APP-010,1,117.43,0,117.43,0.0,0,6.69,52.85,117.43,57.9,2,Delivered,True
ord_0000041,2025-01-05,cust_03168,Occasional,Latin America,Brazil,Affiliate,Publisher Network,Apparel,Performance Jacket,APP-009,2,156.66,0.05,313.31,15.67,0,0,147.26,297.64,150.39,5,Delivered,True
ord_0000042,2025-01-01,cust_05200,Occasional,North America,Canada,Direct,,Beauty,Hair Styling Kit,BEA-008,1,143.91,0.15,143.91,21.59,0,9.86,63.32,122.32,49.15,2,Delivered,True
ord_0000043,2025-01-01,cust_03746,Loyal,EMEA,France,Social,Retargeting,Apparel,Everyday Sneaker,APP-010,1,111.12,0.05,111.12,5.56,95.49,10.09,50.0,10.07,-50.02,8,Returned,True
ord_0000044,2025-01-08,cust_04794,Loyal,North America,United States,Social,Retargeting,Electronics,Smart Home Hub,ELE-002,1,168.71,0,168.71,0.0,151.46,0,97.85,17.25,-80.6,3,Returned,True
ord_0000045,2025-01-01,cust_04013,VIP,North America,Canada,Paid Search,Brand Search,Electronics,Smart Home Hub,ELE-002,1,177.75,0.1,177.75,17.77,0,0,103.09,159.97,56.88,6,Delivered,True
ord_0000046,2025-01-08,cust_03167,VIP,Latin America,Brazil,Direct,Referral,Home,Ceramic Cookware,HOM-004,1,218.22,0.2,218.22,43.64,0,0,106.93,174.58,67.65,,Cancelled,True
ord_0000047,2025-01-01,cust_04756,Occasional,APAC,Japan,Direct,Email Lifecycle,Fitness,Adjustable Kettlebell,FIT-005,1,137.19,0.1,137.19,13.72,0,10.57,71.34,123.47,41.56,8,Delivered,True
ord_0000048,2025-01-02,cust_03935,VIP,APAC,Japan,Social,Creator Program,Home,Ceramic Cookware,HOM-004,1,220.35,0.25,220.35,55.09,0,0,107.97,165.26,57.29,5,Delivered,True
ord_0000049,2025-01-05,cust_04974,New,North America,United States,Paid Search,Shopping Ads,Beauty,Daily Skin Set,BEA-007,1,88.9,0,88.9,0.0,0,5.7,33.78,88.9,49.42,6,Delivered,True
ord_0000050,2025-01-01,cust_00778,Loyal,North America,United States,Direct,Email Lifecycle,Beauty,Hair Styling Kit,BEA-008,1,145.13,0.1,145.13,14.51,0,11.06,63.86,130.61,55.7,1,Delivered,True
ord_0000051,2025-01-07,cust_03286,Loyal,North America,Canada,Marketplace,,Beauty,Hair Styling Kit,BEA-008,1,142.26,0.15,142.26,21.34,0,8.27,62.59,120.92,50.05,6,Delivered,True
ord_0000052,2025-01-03,cust_05384,Loyal,North America,United States,Social,Prospecting,Beauty,Daily Skin Set,BEA-007,1,87.28,0.2,87.28,17.46,0,10.58,33.17,69.83,26.08,7,Delivered,True
ord_0000053,2025-01-01,cust_03294,New,EMEA,United Kingdom,Social,Creator Program,Apparel,Everyday Sneaker,APP-010,1,117.42,0.1,117.42,11.74,0,7.17,52.84,105.68,45.68,7,Delivered,True
ord_0000054,2025-01-01,cust_03232,Occasional,APAC,Japan,Direct,Email Lifecycle,Apparel,Everyday Sneaker,APP-010,5,115.31,0.2,576.55,115.31,0,0,259.45,461.24,201.79,1,Delivered,True
ord_0000055,2025-01-03,cust_03771,Occasional,North America,Canada,Social,Retargeting,Home,Linen Sheet Set,HOM-003,1,117.43,0,117.43,0.0,0,10.76,54.02,117.43,52.66,6,Delivered,True
ord_0000056,2025-01-06,cust_04459,New,North America,United States,Direct,Email Lifecycle,Electronics,Wireless Headphones,ELE-001,3,124.56,0,373.69,0.0,0,0,201.79,373.69,171.9,5,Delivered,True
ord_0000057,2025-01-03,cust_06979,New,North America,United States,Marketplace,Marketplace Featured,Apparel,Everyday Sneaker,APP-010,3,108.29,0,324.86,0.0,0,0,146.19,324.86,178.67,6,Delivered,True
ord_0000058,2025-01-06,cust_00338,New,North America,United States,Direct,Email Lifecycle,Beauty,Hair Styling Kit,BEA-008,1,147.35,0.05,147.35,7.37,0,8.42,64.83,139.98,66.73,5,Delivered,True
ord_0000059,2025-01-01,cust_06270,Loyal,Latin America,Brazil,Affiliate,Publisher Network,Beauty,Daily Skin Set,BEA-007,1,82.48,0.2,82.48,16.5,0,12.47,31.34,65.98,22.17,5,Delivered,True
ord_0000060,2025-01-06,cust_06923,VIP,North America,United States,Paid Search,Brand Search,Home,Ceramic Cookware,HOM-004,1,196.52,0.25,196.52,49.13,0,0,96.3,147.39,51.1,3,Delivered,True
ord_0000061,2025-01-01,cust_03407,Loyal,EMEA,France,Marketplace,Marketplace Featured,Home,Linen Sheet Set,HOM-003,1,109.92,0.1,109.92,10.99,0,7.35,50.57,98.93,41.02,7,Delivered,True
ord_0000062,2025-01-03,cust_04613,VIP,North America,United States,Marketplace,Marketplace Featured,Electronics,Smart Home Hub,ELE-002,1,188.41,0.15,188.41,28.26,0,0,109.28,160.15,50.87,6,Delivered,True
ord_0000063,2025-01-01,cust_03551,Loyal,EMEA,United Kingdom,Direct,,Electronics,Smart Home Hub,ELE-002,1,189.35,0.15,189.35,28.4,0,0,109.82,160.95,51.12,7,Delivered,True
ord_0000064,2025-01-03,cust_06716,Occasional,North America,United States,Direct,,Home,Linen Sheet Set,HOM-003,1,115.48,0,115.48,0.0,0,9.01,53.12,115.48,53.36,3,Delivered,True
ord_0000065,2025-01-07,cust_01090,New,APAC,Australia,Marketplace,,Electronics,Smart Home Hub,ELE-002,1,166.74,0.2,166.74,33.35,0,0,96.71,133.39,36.68,,Cancelled,True
ord_0000066,2025-01-02,cust_03582,Loyal,EMEA,Germany,Direct,Email Lifecycle,Home,Ceramic Cookware,HOM-004,2,215.24,0.05,430.48,21.52,0,0,210.93,408.95,198.02,7,Delivered,True
ord_0000067,2025-01-01,cust_04976,VIP,North America,United States,Marketplace,,Fitness,Adjustable Kettlebell,FIT-005,1,147.32,0.05,147.32,7.37,0,0,76.61,139.95,63.35,5,Delivered,True
ord_0000068,2025-01-09,cust_05517,Loyal,North America,United States,Social,Prospecting,Home,Ceramic Cookware,HOM-004,2,226.31,0.2,452.62,90.52,0,0,221.78,362.1,140.31,3,Delivered,True
ord_0000069,2025-01-01,cust_03624,Occasional,North America,Canada,Marketplace,,Fitness,Recovery Roller,FIT-006,1,54.55,0,54.55,0.0,0,13.41,22.37,54.55,18.77,,Cancelled,True
ord_0000070,2025-01-04,cust_02554,Occasional,North America,United States,Affiliate,Publisher Network,Fitness,Recovery Roller,FIT-006,1,55.08,0.1,55.08,5.51,0,6.43,22.58,49.57,20.56,8,Delivered,True
ord_0000071,2025-01-11,cust_00100,Loyal,North America,Canada,Social,Creator Program,Beauty,Hair Styling Kit,BEA-008,2,127.31,0.05,254.61,12.73,241.88,0,112.03,0.0,-112.03,5,Refunded,True
ord_0000072,2025-01-06,cust_05350,New,North America,United States,Marketplace,Marketplace Featured,Fitness,Adjustable Kettlebell,FIT-005,2,142.67,0.1,285.34,28.53,0,0,148.38,256.81,108.43,5,Delivered,True
ord_0000073,2025-01-01,cust_05808,Occasional,APAC,Japan,Affiliate,Cashback Partner,Electronics,Wireless Headphones,ELE-001,1,131.67,0,131.67,0.0,0,5.79,71.1,131.67,54.77,5,Delivered,True
ord_0000074,2025-01-04,cust_04644,New,EMEA,France,Direct,Referral,Home,Linen Sheet Set,HOM-003,2,113.45,0.2,226.9,45.38,0,0,104.37,181.52,77.15,6,Delivered,True
ord_0000075,2025-01-01,cust_06513,VIP,APAC,Japan,Affiliate,Publisher Network,Electronics,Wireless Headphones,ELE-001,2,129.92,0.05,259.84,12.99,0,0,140.31,246.85,106.53,3,Delivered,True
ord_0000076,2025-01-01,cust_06454,Loyal,EMEA,France,Direct,Email Lifecycle,Apparel,Performance Jacket,APP-009,1,164.8,0,164.8,0.0,0,0,77.46,164.8,87.35,9,Delivered,True
ord_0000077,2025-01-07,cust_06889,Loyal,North America,United States,Direct,Email Lifecycle,Beauty,Hair Styling Kit,BEA-008,1,126.7,0.2,126.7,25.34,0,6.41,55.75,101.36,39.2,4,Delivered,True
ord_0000078,2025-01-08,cust_02489,Loyal,North America,United States,Affiliate,Publisher Network,Apparel,Performance Jacket,APP-009,3,173.75,0,521.24,0.0,0,0,244.98,521.24,276.26,1,Delivered,True
ord_0000079,2025-01-01,cust_06044,Occasional,North America,United States,Direct,Referral,Fitness,Recovery Roller,FIT-006,3,55.12,0.1,165.37,16.54,0,0,67.8,148.84,81.03,7,Delivered,True
ord_0000080,2025-01-08,cust_01791,Occasional,APAC,Japan,Direct,,Home,Linen Sheet Set,HOM-003,1,109.63,0.05,109.63,5.48,0,11.95,50.43,104.15,41.77,3,In Transit,True
ord_0000081,2025-01-01,cust_04426,Occasional,North America,United States,Direct,,Apparel,Performance Jacket,APP-009,1,158.31,0,158.31,0.0,0,0,74.41,158.31,83.9,4,Delivered,True
ord_0000082,2025-01-03,cust_06865,New,EMEA,Germany,Direct,,Beauty,Daily Skin Set,BEA-007,1,86.78,0.2,86.78,17.36,0,8.9,32.98,69.42,27.55,7,Delivered,True
ord_0000083,2025-01-10,cust_04414,Occasional,North America,Canada,Direct,Referral,Apparel,Performance Jacket,APP-009,1,164.49,0.1,164.49,16.45,0,0,77.31,148.04,70.73,7,Delivered,True
ord_0000084,2025-01-05,cust_02386,New,North America,United States,Marketplace,Marketplace Featured,Home,Ceramic Cookware,HOM-004,1,221.14,0.2,221.14,44.23,0,0,108.36,176.91,68.55,2,Delivered,True
ord_0000085,2025-01-02,cust_03967,VIP,APAC,Australia,Direct,,Apparel,Everyday Sneaker,APP-010,2,116.38,0.1,232.76,23.28,0,0,104.74,209.48,104.74,3,Delivered,True
ord_0000086,2025-01-03,cust_00684,VIP,North America,United States,Direct,Email Lifecycle,Apparel,Everyday Sneaker,APP-010,3,115.64,0.25,346.91,86.73,0,0,156.11,260.18,104.07,6,Delivered,True
ord_0000087,2025-01-03,cust_04596,New,EMEA,United Kingdom,Paid Search,Brand Search,Home,Linen Sheet Set,HOM-003,1,110.43,0,110.43,0.0,0,13.38,50.8,110.43,46.25,4,Delivered,True
ord_0000088,2025-01-06,cust_04261,New,North America,Canada,Social,Retargeting,Home,Linen Sheet Set,HOM-003,1,115.98,0.1,115.98,11.6,0,10.8,53.35,104.38,40.23,4,Delivered,True
ord_0000089,2025-01-04,cust_05042,Occasional,EMEA,Germany,Paid Search,Brand Search,Electronics,Smart Home Hub,ELE-002,1,190.5,0.15,190.5,28.57,0,0,110.49,161.92,51.43,6,Delivered,True
ord_0000090,2025-01-04,cust_06001,Loyal,APAC,Australia,Direct,Email Lifecycle,Fitness,Recovery Roller,FIT-006,2,59.96,0.1,119.91,11.99,0,8.82,49.16,107.92,49.93,6,Delivered,True
ord_0000091,2025-01-01,cust_05547,New,APAC,Japan,Affiliate,Publisher Network,Home,Linen Sheet Set,HOM-003,1,114.43,0,114.43,0.0,0,7.26,52.64,114.43,54.53,5,Delivered,True
ord_0000092,2025-01-04,cust_02224,Occasional,North America,United States,Direct,Email Lifecycle,Beauty,Daily Skin Set,BEA-007,2,85.15,0.2,170.29,34.06,0,0,64.71,136.23,71.52,6,Delivered,True
ord_0000093,2025-01-05,cust_03508,Occasional,North America,United States,Marketplace,Marketplace Featured,Home,Linen Sheet Set,HOM-003,1,125.72,0,125.72,0.0,109.48,5.73,57.83,16.25,-47.32,5,Returned,True
ord_0000094,2025-01-14,cust_00147,Loyal,North America,United States,Marketplace,Marketplace Featured,Fitness,Adjustable Kettlebell,FIT-005,1,138.36,0.1,138.36,13.84,0,8.39,71.95,124.52,44.19,2,Delivered,True
ord_0000095,2025-01-01,cust_01332,Occasional,North America,United States,Marketplace,,Fitness,Recovery Roller,FIT-006,1,52.77,0.1,52.77,5.28,0,10.61,21.63,47.49,15.25,,Cancelled,True
ord_0000096,2025-01-07,cust_01362,Occasional,North America,United States,Paid Search,Brand Search,Home,Ceramic Cookware,HOM-004,1,216.96,0,216.96,0.0,0,0,106.31,216.96,110.65,4,Delivered,True
ord_0000097,2025-01-06,cust_02453,VIP,North America,United States,Paid Search,Brand Search,Beauty,Hair Styling Kit,BEA-008,1,134.84,0.2,134.84,26.97,0,0,59.33,107.87,48.54,8,In Transit,True
ord_0000098,2025-01-07,cust_01381,New,North America,United States,Paid Search,Nonbrand Search,Fitness,Recovery Roller,FIT-006,2,53.24,0.1,106.48,10.65,0,6.95,43.66,95.83,45.23,6,Delivered,True
ord_0000099,2025-01-02,cust_06814,VIP,EMEA,Germany,Direct,,Electronics,Smart Home Hub,ELE-002,1,193.99,0.05,193.99,9.7,0,0,112.52,184.29,71.78,3,Delivered,True
ord_0000100,2025-01-01,cust_03213,Occasional,North America,United States,Affiliate,Publisher Network,Apparel,Performance Jacket,APP-009,1,153.56,0,153.56,0.0,0,0,72.17,153.56,81.39,7,Delivered,True
ord_0000101,2025-01-06,cust_05832,Occasional,EMEA,United Kingdom,Direct,Email Lifecycle,Apparel,Performance Jacket,APP-009,1,158.93,0,158.93,0.0,0,0,74.7,158.93,84.23,4,Delivered,True
ord_0000102,2025-01-07,cust_01758,New,APAC,Japan,Social,Retargeting,Fitness,Adjustable Kettlebell,FIT-005,1,134.39,0.1,134.39,13.44,0,13.67,69.88,120.95,37.4,8,Delivered,True
ord_0000103,2025-01-01,cust_06842,New,North America,United States,Paid Search,Shopping Ads,Home,Ceramic Cookware,HOM-004,1,230.16,0.05,230.16,11.51,0,0,112.78,218.65,105.87,4,Delivered,True
ord_0000104,2025-01-04,cust_05125,Loyal,APAC,Japan,Direct,,Apparel,Performance Jacket,APP-009,1,156.38,0,156.38,0.0,108.44,0,73.5,47.94,-25.56,6,Returned,True
ord_0000105,2025-01-04,cust_00344,Occasional,North America,United States,Direct,Referral,Electronics,Smart Home Hub,ELE-002,1,185.27,0.1,185.27,18.53,0,0,107.46,166.75,59.29,1,Delivered,True
ord_0000106,2025-01-03,cust_03837,New,EMEA,France,Direct,,Fitness,Adjustable Kettlebell,FIT-005,1,142.06,0.15,142.06,21.31,0,9.69,73.87,120.75,37.19,8,Delivered,True
ord_0000107,2025-01-01,cust_00734,Occasional,North America,United States,Social,Retargeting,Home,Linen Sheet Set,HOM-003,1,120.06,0.05,120.06,6.0,0,13.97,55.23,114.06,44.86,4,Delivered,True
ord_0000108,2025-01-01,cust_06731,Occasional,North America,United States,Direct,,Home,Ceramic Cookware,HOM-004,2,228.58,0.15,457.16,68.57,388.59,0,224.01,0.0,-224.01,6,Refunded,True
ord_0000109,2025-01-09,cust_00740,Occasional,North America,United States,Affiliate,Publisher Network,Electronics,Wireless Headphones,ELE-001,2,121.7,0,243.39,0.0,180.87,0,131.43,62.52,-68.91,4,Returned,True
ord_0000110,2025-01-16,cust_02021,Occasional,North America,United States,Direct,Referral,Fitness,Adjustable Kettlebell,FIT-005,1,141.09,0,141.09,0.0,0,9.43,73.37,141.09,58.29,4,Delivered,True
ord_0000111,2025-01-02,cust_00548,Occasional,EMEA,Germany,Direct,Email Lifecycle,Beauty,Daily Skin Set,BEA-007,1,82.26,0,82.26,0.0,0,13.58,31.26,82.26,37.42,5,Delivered,True
ord_0000112,2025-01-10,cust_01065,Loyal,Latin America,Brazil,Direct,Email Lifecycle,Apparel,Everyday Sneaker,APP-010,1,111.42,0.15,111.42,16.71,0,8.42,50.14,94.71,36.15,6,Delivered,True
ord_0000113,2025-01-01,cust_00250,Loyal,North America,United States,Direct,Referral,Fitness,Adjustable Kettlebell,FIT-005,1,133.91,0.2,133.91,26.78,0,8.64,69.64,107.13,28.85,2,Delivered,True
ord_0000114,2025-01-03,cust_01556,Loyal,North America,United States,Direct,Referral,Electronics,Wireless Headphones,ELE-001,1,139.37,0,139.37,0.0,101.36,13.57,75.26,38.01,-50.81,4,Returned,True
ord_0000115,2025-01-10,cust_04040,Occasional,APAC,Australia,Direct,Email Lifecycle,Beauty,Daily Skin Set,BEA-007,1,86.96,0.05,86.96,4.35,0,9.81,33.04,82.61,39.76,5,Delivered,True
ord_0000116,2025-01-02,cust_01566,Occasional,EMEA,Germany,Social,Retargeting,Fitness,Recovery Roller,FIT-006,1,56.09,0.1,56.09,5.61,0,8.35,23.0,50.48,19.13,4,Delivered,True
ord_0000117,2025-01-08,cust_05720,Loyal,North America,Canada,Direct,,Home,Linen Sheet Set,HOM-003,1,116.99,0.2,116.99,23.4,0,12.93,53.81,93.59,26.84,4,Delivered,True
ord_0000118,2025-01-13,cust_05302,VIP,EMEA,France,Direct,,Fitness,Recovery Roller,FIT-006,1,60.19,0.05,60.19,3.01,0,0,24.68,57.18,32.5,9,In Transit,True
ord_0000119,2025-01-04,cust_00241,Occasional,EMEA,France,Social,Creator Program,Beauty,Daily Skin Set,BEA-007,1,90.89,0,90.89,0.0,0,13.09,34.54,90.89,43.26,5,Delivered,True
ord_0000120,2025-01-08,cust_02388,VIP,North America,United States,Direct,Referral,Electronics,Wireless Headphones,ELE-001,1,126.51,0.2,126.51,25.3,0,0,68.32,101.21,32.89,,Cancelled,True
ord_0000121,2025-01-07,cust_01903,Occasional,EMEA,Germany,Social,Creator Program,Fitness,Adjustable Kettlebell,FIT-005,2,136.71,0.15,273.42,41.01,0,0,142.18,232.41,90.23,6,Delivered,True
ord_0000122,2025-01-02,cust_02529,Loyal,EMEA,France,Direct,Referral,Electronics,Smart Home Hub,ELE-002,2,196.8,0.2,393.59,78.72,0,0,228.28,314.87,86.59,6,Delivered,True
ord_0000123,2025-01-05,cust_02661,Occasional,Latin America,Brazil,Direct,,Fitness,Adjustable Kettlebell,FIT-005,2,141.66,0.05,283.31,14.17,0,0,147.32,269.15,121.82,5,Delivered,True
ord_0000124,2025-01-14,cust_05523,Occasional,North America,United States,Social,Creator Program,Fitness,Recovery Roller,FIT-006,2,53.92,0.2,107.83,21.57,0,11.93,44.21,86.27,30.12,4,Delivered,True
ord_0000125,2025-01-05,cust_05855,Occasional,North America,United States,Paid Search,Nonbrand Search,Home,Ceramic Cookware,HOM-004,1,209.0,0.05,209.0,10.45,198.55,0,102.41,0.0,-102.41,3,Refunded,True
ord_0000126,2025-01-13,cust_04243,VIP,North America,Canada,Direct,Referral,Home,Linen Sheet Set,HOM-003,1,125.38,0.2,125.38,25.08,0,0,57.67,100.3,42.63,7,Delivered,True
ord_0000127,2025-01-04,cust_02397,Occasional,North America,United States,Direct,,Electronics,Wireless Headphones,ELE-001,1,128.87,0.05,128.87,6.44,0,13.69,69.59,122.42,39.15,3,Delivered,True
ord_0000128,2025-01-11,cust_01553,Occasional,North America,United States,Direct,Referral,Beauty,Hair Styling Kit,BEA-008,1,135.74,0,135.74,0.0,0,5.85,59.72,135.74,70.16,2,Delivered,True
ord_0000129,2025-01-04,cust_00697,Occasional,EMEA,United Kingdom,Direct,,Home,Linen Sheet Set,HOM-003,1,130.09,0.1,130.09,13.01,0,11.32,59.84,117.08,45.91,7,Delivered,True
