week_start,account_id,plan,region,industry,acquisition_channel,account_age_weeks,seats,weekly_active_users,invited_users,sessions,core_actions,feature_a_users,feature_b_users,activation_rate,retention_rate_4w,nps_score,mrr_usd,expansion_mrr_usd,support_tickets,churned
2026-01-05,acct_00043,Free,North America,Financial Services,Partner,130,6,6,6,16,47,4,3,0.5833,0.6335,,0,0,2,False
2026-01-05,acct_00044,Starter,EMEA,Software,Content,117,13,9,10,47,159,6,5,0.55,0.6616,,152.1,0,1,False
2026-01-05,acct_00045,Enterprise,APAC,Healthcare,Paid Search,148,126,110,126,839,3954,89,72,0.6389,0.8291,,3885.0,0,3,False
2026-01-05,acct_00046,Starter,North America,Manufacturing,Paid Search,72,7,7,7,38,147,5,4,0.6429,0.7357,,133.48,0.96,0,False
2026-01-05,acct_00047,Starter,North America,Professional Services,Paid Search,154,13,8,12,38,114,5,4,0.375,0.7868,,152.1,0,2,False
2026-01-05,acct_00048,Growth,North America,Professional Services,Organic,171,84,56,72,147,440,33,24,0.3958,0.5607,,998.75,9.95,5,False
2026-01-05,acct_00049,Free,North America,Software,Outbound,143,5,1,4,5,16,1,0,0.125,0.5778,,0,0,1,False
2026-01-05,acct_00050,Growth,North America,Retail,Outbound,108,39,29,37,159,375,19,14,0.4459,0.729,,784.73,7.53,2,False
2026-01-05,acct_00051,Growth,APAC,Professional Services,Paid Search,161,56,45,56,283,931,33,26,0.5268,0.6851,,865.58,4.15,2,False
2026-01-05,acct_00052,Free,North America,Software,Paid Search,72,5,3,4,10,14,2,1,0.375,0.6775,,0,0,1,False
2026-01-05,acct_00053,Starter,North America,Manufacturing,Paid Search,160,12,7,12,20,63,5,4,0.375,0.8145,,149.0,0,0,False
2026-01-05,acct_00054,Growth,North America,Software,Organic,67,36,16,21,50,63,6,4,0.2381,0.4392,,770.46,0,4,False
2026-01-05,acct_00055,Starter,Latin America,Healthcare,Outbound,81,11,7,9,52,118,4,3,0.3889,0.7131,,145.9,2.47,2,False
2026-01-05,acct_00056,Free,EMEA,Retail,Organic,95,4,1,2,3,5,0,0,0,0.5219,,0,0,2,False
2026-01-05,acct_00057,Starter,APAC,Software,Content,41,7,6,6,26,31,3,2,0.4167,0.5653,,133.48,0.53,2,False
2026-01-05,acct_00058,Free,EMEA,Software,Paid Search,102,3,3,3,23,47,1,1,0.3333,0.4204,,0,0,1,False
2026-01-05,acct_00059,Starter,North America,Financial Services,Partner,77,14,9,10,25,56,4,3,0.35,0.4174,,155.21,0,1,False
2026-01-05,acct_00060,Free,North America,Healthcare,Organic,106,4,0,2,0,0,0,0,0,0.4275,,0,0,1,False
2026-01-05,acct_00061,Starter,EMEA,Software,Outbound,57,18,12,15,69,124,7,5,0.4,0.6528,,167.62,2.18,0,False
2026-01-05,acct_00062,Starter,Latin America,Professional Services,Organic,178,21,16,17,76,122,10,8,0.5294,0.6214,,176.94,4.95,1,False
2026-01-05,acct_00063,Starter,North America,Retail,Partner,80,19,14,14,66,188,8,5,0.4643,0.5861,,170.73,0.53,2,False
2026-01-05,acct_00064,Growth,North America,Financial Services,Organic,102,23,22,23,102,246,18,15,0.7174,0.8718,,708.64,6.65,3,False
2026-01-05,acct_00065,Starter,EMEA,Financial Services,Content,47,12,9,12,33,61,7,5,0.5,0.723,,149.0,0.96,2,False
2026-01-05,acct_00066,Free,North America,Professional Services,Organic,134,6,5,5,22,60,3,2,0.5,0.5888,,0,0,2,False
2026-01-05,acct_00067,Free,North America,Financial Services,Organic,125,5,2,3,14,20,0,0,0,0.247,,0,0,3,False
2026-01-05,acct_00068,Free,EMEA,Manufacturing,Outbound,133,5,2,3,6,7,1,0,0.1667,0.342,,0,0,1,False
2026-01-05,acct_00069,Growth,North America,Retail,Outbound,172,25,25,25,185,941,22,18,0.8,0.861,,718.15,18.06,2,False
2026-01-05,acct_00070,Growth,Latin America,Professional Services,Partner,41,25,24,25,96,241,20,17,0.74,0.8812,,718.15,9.51,0,False
2026-01-05,acct_00071,Free,APAC,Software,Paid Search,167,3,2,2,10,17,1,0,0.25,0.4013,,0,0,3,False
2026-01-05,acct_00072,Growth,EMEA,Software,Partner,42,35,26,31,186,341,19,15,0.5484,0.7849,,765.71,0,2,False
2026-01-05,acct_00073,Free,North America,Professional Services,Partner,114,3,2,2,6,11,1,1,0.5,0.5402,,0,0,1,False
2026-01-05,acct_00074,Starter,North America,Retail,Organic,69,19,15,17,113,326,11,9,0.5882,0.8447,,170.73,0.84,1,False
2026-01-05,acct_00075,Starter,North America,Software,Paid Search,97,14,14,14,76,319,11,9,0.7143,0.7423,,155.21,2.88,2,False
2026-01-05,acct_00076,Starter,North America,Manufacturing,Partner,164,9,7,7,54,93,4,3,0.5,0.5487,,139.69,0,1,False
2026-01-05,acct_00077,Starter,North America,Healthcare,Content,102,15,5,10,34,71,2,2,0.2,0.4538,,158.31,0,0,False
2026-01-05,acct_00078,Starter,EMEA,Manufacturing,Content,108,6,4,4,12,15,2,2,0.5,0.6332,,130.38,0.66,3,False
2026-01-05,acct_00079,Growth,North America,Healthcare,Paid Search,9,45,35,45,227,640,25,19,0.4889,0.737,,813.27,22.5,1,False
2026-01-05,acct_00080,Starter,EMEA,Healthcare,Organic,110,16,13,14,54,85,9,7,0.5714,0.7707,,161.42,2.54,2,False
2026-01-05,acct_00081,Free,EMEA,Software,Paid Search,139,4,2,2,8,10,1,1,0.5,0.443,,0,0,3,False
2026-01-05,acct_00082,Starter,North America,Software,Partner,76,11,5,10,36,84,3,2,0.25,0.732,,145.9,2.17,1,False
2026-01-05,acct_00083,Free,APAC,Professional Services,Organic,141,2,1,2,8,11,1,0,0.25,0.5481,,0,0,0,False
2026-01-05,acct_00084,Free,North America,Manufacturing,Outbound,145,4,2,3,16,35,1,1,0.3333,0.5146,,0,0,1,False
2026-01-05,acct_00085,Growth,North America,Healthcare,Content,85,51,30,39,219,404,17,12,0.3718,0.5952,,841.8,23.81,3,False
2026-01-05,acct_00086,Starter,EMEA,Software,Organic,136,9,5,7,34,88,3,2,0.3571,0.6228,,139.69,0,2,False
2026-01-05,acct_00087,Starter,APAC,Software,Paid Search,165,11,8,9,51,133,4,3,0.3889,0.5893,,145.9,0.14,1,False
2026-01-05,acct_00088,Growth,North America,Manufacturing,Outbound,53,36,33,36,239,451,25,20,0.625,0.8481,,770.46,0,2,False
2026-01-05,acct_00089,Starter,North America,Financial Services,Organic,121,16,13,15,100,406,10,8,0.6,0.79,,161.42,0,1,False
2026-01-05,acct_00090,Free,North America,Software,Partner,21,6,5,5,24,48,1,1,0.2,0.2466,,0,0,3,False
2026-01-05,acct_00091,Growth,APAC,Manufacturing,Content,133,38,31,36,155,242,20,15,0.4861,0.6451,,779.98,5.61,1,False
2026-01-05,acct_00092,Starter,North America,Software,Partner,104,13,8,9,25,54,4,3,0.3889,0.5565,,152.1,1.63,2,False
2026-01-05,acct_00093,Free,North America,Financial Services,Partner,124,2,1,1,5,6,0,0,0,0.4258,,0,0,2,False
2026-01-05,acct_00094,Free,EMEA,Software,Partner,167,3,1,2,7,14,0,0,0,0.3531,,0,0,4,False
2026-01-05,acct_00095,Enterprise,North America,Retail,Paid Search,4,162,160,162,1184,2811,146,120,0.821,0.921,,4095.0,42.62,5,False
2026-01-05,acct_00096,Free,North America,Manufacturing,Organic,29,8,4,5,29,53,2,1,0.3,0.4455,,0,0,2,False
2026-01-05,acct_00097,Starter,North America,Manufacturing,Paid Search,175,11,4,9,20,52,2,2,0.2222,0.5879,,145.9,2.1,2,False
2026-01-05,acct_00098,Enterprise,North America,Software,Paid Search,63,115,86,114,257,766,58,44,0.4474,0.7063,,3820.83,59.84,5,False
2026-01-05,acct_00099,Starter,North America,Software,Organic,36,11,11,11,32,86,6,5,0.5,0.5813,,145.9,0,1,False
2026-01-05,acct_00100,Starter,EMEA,Retail,Outbound,121,13,12,13,38,115,11,9,0.7692,0.939,,152.1,1.11,2,False
2026-01-05,acct_00101,Starter,APAC,Software,Organic,115,23,6,15,16,29,2,1,0.1,0.4064,,183.15,0,2,False
2026-01-05,acct_00102,Enterprise,EMEA,Retail,Content,33,243,136,159,409,1141,67,45,0.3522,0.5324,,4567.5,0,7,False
2026-01-05,acct_00103,Free,North America,Manufacturing,Content,139,3,0,3,0,0,0,0,0,0.8753,,0,0,1,False
2026-01-05,acct_00104,Growth,North America,Manufacturing,Organic,113,51,30,35,204,680,16,11,0.3857,0.5005,,841.8,4.13,3,False
2026-01-05,acct_00105,Enterprise,North America,Professional Services,Paid Search,58,117,107,117,694,1155,86,69,0.6624,0.8436,,3832.5,127.56,3,False
2026-01-05,acct_00106,Starter,North America,Professional Services,Organic,117,8,7,7,27,72,4,3,0.5,0.7034,,136.58,1.34,1,False
2026-01-05,acct_00107,Starter,APAC,Financial Services,Partner,88,11,2,8,16,26,1,1,0.125,0.5897,,145.9,1.62,3,False
2026-01-05,acct_00108,Growth,North America,Software,Content,16,31,17,26,62,94,9,6,0.2885,0.555,,746.68,0,2,False
2026-01-05,acct_00109,Free,North America,Manufacturing,Partner,95,9,3,7,22,58,1,1,0.1429,0.4748,,0,0,2,False
2026-01-05,acct_00110,Enterprise,EMEA,Manufacturing,Partner,76,109,107,109,491,2118,96,78,0.7982,0.9654,,3785.83,21.41,3,False
2026-01-05,acct_00111,Growth,North America,Retail,Organic,76,35,31,35,115,482,24,19,0.6143,0.8011,,765.71,4.03,2,False
2026-01-05,acct_00112,Growth,North America,Professional Services,Outbound,77,48,39,48,289,676,28,22,0.5208,0.73,,827.54,0,2,False
2026-01-05,acct_00113,Free,North America,Healthcare,Content,5,7,4,6,15,52,2,2,0.3333,0.6314,,0,0,1,False
2026-01-05,acct_00114,Starter,North America,Software,Outbound,131,10,1,8,7,20,1,0,0.0625,0.4862,,142.79,0,3,False
2026-01-05,acct_00115,Starter,EMEA,Manufacturing,Organic,118,14,7,9,35,56,3,1,0.2222,0.392,,155.21,0,3,False
2026-01-05,acct_00116,Free,North America,Professional Services,Organic,80,9,8,8,26,70,5,3,0.5,0.6528,,0,0,2,False
2026-01-05,acct_00117,Starter,North America,Professional Services,Outbound,57,9,6,7,46,111,3,2,0.3571,0.5566,,139.69,1.09,3,False
2026-01-05,acct_00118,Free,North America,Professional Services,Outbound,42,3,0,2,0,0,0,0,0,0.4467,,0,0,1,False
2026-01-05,acct_00119,Growth,EMEA,Professional Services,Content,57,57,29,35,207,578,13,8,0.3,0.4982,,870.34,1.26,3,False
2026-01-05,acct_00120,Free,APAC,Healthcare,Content,115,3,0,2,0,0,0,0,0,0.3093,,0,0,2,False
2026-01-05,acct_00121,Growth,EMEA,Software,Paid Search,123,24,20,23,87,191,13,10,0.5,0.7571,,713.39,6.45,2,False
2026-01-05,acct_00122,Starter,APAC,Healthcare,Organic,59,8,5,8,33,103,3,2,0.3125,0.7424,,136.58,1.19,1,False
2026-01-05,acct_00123,Free,North America,Professional Services,Content,82,3,3,3,14,45,2,1,0.5,0.5955,,0,0,0,False
2026-01-05,acct_00124,Starter,North America,Retail,Organic,54,14,12,14,86,162,11,9,0.7143,0.9376,,155.21,0,0,False
2026-01-05,acct_00125,Free,North America,Software,Partner,94,4,1,4,3,5,1,1,0.25,0.7692,,0,0,2,False
2026-01-05,acct_00126,Growth,North America,Healthcare,Paid Search,49,15,8,12,62,156,4,3,0.2917,0.5792,,670.59,1.44,2,False
2026-01-05,acct_00127,Starter,EMEA,Healthcare,Organic,57,13,7,10,34,47,4,3,0.35,0.5509,,152.1,2.42,3,False
2026-01-05,acct_00128,Growth,EMEA,Retail,Organic,4,27,24,27,166,512,20,16,0.6667,0.9031,,727.66,8.45,0,False
2026-01-05,acct_00129,Starter,EMEA,Manufacturing,Organic,49,44,32,34,210,310,20,15,0.5147,0.5934,,248.33,4.66,1,False
2026-01-05,acct_00130,Starter,APAC,Manufacturing,Partner,57,10,9,9,56,92,3,2,0.2778,0.3798,,142.79,1.95,3,False
2026-01-05,acct_00131,Starter,North America,Professional Services,Paid Search,175,9,4,6,19,53,2,1,0.25,0.4956,,139.69,3.58,0,False
2026-01-05,acct_00132,Starter,APAC,Manufacturing,Organic,164,8,7,7,54,191,4,3,0.5,0.6034,,136.58,1.6,2,False
2026-01-05,acct_00133,Free,EMEA,Retail,Organic,129,6,3,4,9,24,1,1,0.25,0.4429,,0,0,2,False
2026-01-05,acct_00134,Free,North America,Retail,Content,158,3,3,3,13,36,1,1,0.3333,0.4963,,0,0,2,False
2026-01-05,acct_00135,Growth,APAC,Professional Services,Organic,172,56,41,45,304,724,28,21,0.5444,0.6515,,865.58,23.13,2,False
2026-01-05,acct_00136,Free,North America,Professional Services,Organic,135,3,3,3,10,25,2,1,0.5,0.5909,,0,0,0,False
2026-01-05,acct_00137,Free,EMEA,Software,Paid Search,60,2,1,1,5,8,0,0,0,0.446,,0,0,3,False
2026-01-05,acct_00138,Enterprise,North America,Professional Services,Paid Search,166,280,187,207,627,1353,110,80,0.4589,0.6087,,4783.33,0,7,False
2026-01-05,acct_00139,Enterprise,APAC,Professional Services,Paid Search,9,200,169,184,966,1647,129,102,0.6277,0.8192,,4316.67,0,4,False
2026-01-05,acct_00140,Growth,North America,Retail,Organic,40,38,26,33,191,596,19,15,0.5152,0.73,,779.98,19.69,3,False
2026-01-05,acct_00141,Enterprise,North America,Financial Services,Paid Search,135,528,397,525,1611,2185,267,203,0.4476,0.6337,,6230.0,47.73,12,False
2026-01-05,acct_00142,Free,North America,Software,Organic,116,3,2,2,5,14,1,1,0.5,0.5665,,0,0,1,False
2026-01-05,acct_00143,Starter,North America,Software,Content,125,16,11,15,30,45,8,6,0.4667,0.6822,,161.42,0,1,False
2026-01-05,acct_00144,Free,North America,Financial Services,Partner,121,2,2,2,11,11,1,0,0.25,0.438,,0,0,1,False
2026-01-05,acct_00145,Growth,Latin America,Software,Outbound,58,25,14,18,90,134,7,5,0.3333,0.4871,,718.15,26.52,1,False
2026-01-05,acct_00146,Free,EMEA,Financial Services,Outbound,105,3,0,2,0,0,0,0,0,0.4106,,0,0,0,False
2026-01-05,acct_00147,Growth,EMEA,Professional Services,Outbound,68,58,22,31,66,53,7,3,0.1613,0.2928,,875.1,0,4,False
2026-01-05,acct_00148,Growth,North America,Professional Services,Content,106,44,29,38,199,592,16,11,0.3553,0.5619,,808.51,3.47,3,False
2026-01-05,acct_00149,Starter,Latin America,Software,Paid Search,25,24,14,17,107,116,7,5,0.3529,0.5311,,186.25,0,2,False
2026-01-05,acct_00150,Growth,APAC,Financial Services,Outbound,116,35,27,27,195,544,16,11,0.5,0.5671,,765.71,3.41,3,False
2026-01-05,acct_00151,Starter,North America,Retail,Organic,141,8,3,6,16,51,2,1,0.25,0.6182,,136.58,1.02,2,False
2026-01-05,acct_00152,Free,EMEA,Financial Services,Content,41,4,3,3,19,54,1,1,0.3333,0.5465,,0,0,1,False
2026-01-05,acct_00153,Growth,North America,Manufacturing,Partner,170,40,30,35,174,638,20,15,0.5,0.7321,,789.49,12.29,2,False
2026-01-05,acct_00154,Starter,North America,Professional Services,Organic,106,10,8,8,29,100,6,4,0.625,0.6697,,142.79,5.06,1,False
2026-01-05,acct_00155,Growth,APAC,Professional Services,Outbound,163,28,17,23,63,139,9,6,0.3261,0.5919,,732.42,11.4,2,False
2026-01-05,acct_00156,Free,North America,Financial Services,Organic,20,4,1,3,4,9,0,0,0,0.392,,0,0,3,False
2026-01-05,acct_00157,Free,North America,Software,Organic,162,4,1,3,7,12,0,0,0,0.4405,,0,0,1,False
2026-01-05,acct_00158,Starter,North America,Professional Services,Content,48,24,14,19,58,132,8,5,0.3421,0.5797,,186.25,5.47,2,False
2026-01-05,acct_00159,Enterprise,North America,Software,Outbound,62,299,267,299,1725,5422,216,173,0.6505,0.8581,,4894.17,135.22,7,False
2026-01-05,acct_00160,Starter,North America,Manufacturing,Organic,30,20,14,15,37,110,8,6,0.4667,0.6579,,173.83,0,3,False
2026-01-05,acct_00161,Starter,EMEA,Retail,Paid Search,146,14,6,10,20,49,3,2,0.25,0.5408,,155.21,2.17,2,False
2026-01-05,acct_00162,Free,North America,Professional Services,Content,52,3,0,2,0,0,0,0,0,0.4325,,0,0,3,False
2026-01-05,acct_00163,Growth,EMEA,Professional Services,Paid Search,7,36,34,36,88,287,30,24,0.75,0.9028,,770.46,5.29,2,False
2026-01-05,acct_00164,Free,North America,Professional Services,Content,123,4,0,3,0,0,0,0,0,0.4665,,0,0,3,False
2026-01-05,acct_00165,Starter,North America,Software,Organic,51,8,8,8,31,160,7,6,0.8125,0.9434,,136.58,2.05,0,False
2026-01-05,acct_00166,Growth,North America,Healthcare,Organic,172,30,26,30,158,414,21,17,0.6333,0.8351,,741.93,17.89,2,False
2026-01-05,acct_00167,Free,APAC,Software,Content,39,4,2,2,7,10,0,0,0,0.2876,,0,0,4,False
2026-01-05,acct_00168,Starter,APAC,Software,Organic,97,31,17,21,124,280,7,5,0.2857,0.4841,,207.98,0.69,2,False
2026-01-05,acct_00169,Starter,North America,Retail,Partner,13,5,5,5,23,32,3,2,0.5,0.6913,,127.27,0.97,0,False
2026-01-05,acct_00170,Starter,EMEA,Software,Paid Search,170,17,13,14,42,140,8,6,0.5,0.7043,,164.52,0.18,2,False
2026-01-05,acct_00171,Growth,EMEA,Software,Outbound,102,49,49,49,158,489,42,35,0.7857,0.9532,,832.29,0.61,0,False
2026-01-05,acct_00172,Starter,North America,Software,Organic,138,8,5,5,24,53,2,1,0.3,0.3741,,136.58,1.14,3,False
2026-01-05,acct_00173,Starter,EMEA,Software,Outbound,149,4,4,4,19,31,3,2,0.625,0.6544,,124.17,3.12,1,False
2026-01-05,acct_00174,Free,APAC,Software,Partner,133,2,2,2,5,13,1,1,0.5,0.718,,0,0,0,False
2026-01-05,acct_00175,Starter,North America,Financial Services,Paid Search,161,3,2,3,8,32,1,1,0.3333,0.6383,,121.06,0.52,1,False
2026-01-05,acct_00176,Starter,EMEA,Financial Services,Content,137,10,5,6,22,39,2,1,0.25,0.3881,,142.79,1.1,3,False
2026-01-05,acct_00177,Free,North America,Professional Services,Content,117,3,0,3,0,0,0,0,0,0.5299,,0,0,1,False
2026-01-05,acct_00178,Growth,EMEA,Professional Services,Paid Search,136,93,58,70,347,766,30,20,0.3571,0.593,,1041.55,10.1,1,False
2026-01-05,acct_00179,Starter,North America,Healthcare,Partner,109,12,8,9,60,124,5,3,0.4444,0.5539,,149.0,2.51,3,False
2026-01-05,acct_00180,Growth,Latin America,Professional Services,Paid Search,108,44,31,38,219,697,21,16,0.4868,0.7554,,808.51,0,2,False
2026-01-05,acct_00181,Starter,EMEA,Manufacturing,Organic,41,10,8,8,32,118,5,3,0.5,0.6038,,142.79,0.95,1,False
2026-01-05,acct_00182,Free,North America,Professional Services,Organic,51,5,5,5,30,47,1,1,0.2,0.3391,,0,0,3,False
2026-01-05,acct_00183,Growth,North America,Healthcare,Outbound,169,21,18,18,74,298,12,9,0.5833,0.6105,,699.12,14.58,2,False
2026-01-05,acct_00184,Free,North America,Financial Services,Organic,32,8,7,7,30,41,4,2,0.4286,0.545,,0,0,1,False
2026-01-05,acct_00185,Growth,North America,Software,Content,178,24,17,18,62,127,10,8,0.5,0.6856,,713.39,4.9,3,False
2026-01-05,acct_00186,Growth,North America,Retail,Outbound,70,50,26,35,66,135,12,8,0.2857,0.5114,,837.05,17.0,3,False
2026-01-05,acct_00187,Free,North America,Software,Outbound,51,6,2,3,8,9,1,0,0.1667,0.3709,,0,0,2,False
2026-01-05,acct_00188,Starter,EMEA,Software,Partner,74,17,7,9,37,64,3,2,0.2778,0.4338,,164.52,0.77,3,False
2026-01-05,acct_00189,Growth,North America,Software,Organic,32,22,22,22,88,361,20,16,0.8182,0.9352,,703.88,2.71,2,False
2026-01-05,acct_00190,Enterprise,EMEA,Financial Services,Content,178,141,122,141,685,1896,95,75,0.6028,0.7924,,3972.5,27.14,4,False
2026-01-05,acct_00191,Enterprise,APAC,Professional Services,Organic,110,111,77,90,453,1100,46,34,0.4444,0.6361,,3797.5,0,5,False
2026-01-05,acct_00192,Starter,North America,Retail,Paid Search,155,6,3,5,17,61,2,1,0.3,0.5857,,130.38,0,3,False
2026-01-05,acct_00193,Free,EMEA,Financial Services,Organic,180,8,8,8,23,29,4,3,0.4375,0.5819,,0,0,2,False
2026-01-05,acct_00194,Growth,North America,Software,Partner,125,41,28,32,171,377,18,14,0.5,0.6988,,794.24,13.21,1,False
2026-01-05,acct_00195,Enterprise,EMEA,Financial Services,Organic,63,309,306,309,2002,5216,278,230,0.822,0.9892,,4952.5,0,6,False
2026-01-05,acct_00196,Growth,EMEA,Software,Content,132,109,68,94,399,615,39,28,0.3564,0.5874,,1117.65,9.31,4,False
2026-01-05,acct_00197,Growth,North America,Healthcare,Paid Search,180,34,14,19,46,72,5,3,0.2105,0.4178,,760.95,12.58,3,False
2026-01-05,acct_00198,Growth,Latin America,Professional Services,Outbound,89,43,37,43,244,476,28,22,0.5814,0.7648,,803.76,8.19,1,False
2026-01-05,acct_00199,Free,EMEA,Software,Organic,53,5,3,3,22,34,1,1,0.3333,0.4451,,0,0,2,False
2026-01-05,acct_00200,Starter,EMEA,Software,Organic,22,7,4,5,28,68,2,1,0.3,0.4498,,133.48,0.91,2,False
2026-01-05,acct_00201,Enterprise,North America,Healthcare,Organic,106,61,45,47,110,198,28,21,0.5213,0.6749,,3505.83,85.79,5,False
2026-01-05,acct_00202,Free,North America,Professional Services,Content,179,6,5,5,38,51,2,1,0.3,0.3961,,0,0,0,False
2026-01-05,acct_00203,Free,North America,Healthcare,Paid Search,57,5,3,3,10,23,1,1,0.3333,0.4474,,0,0,3,False
2026-01-05,acct_00204,Free,North America,Software,Paid Search,17,7,3,6,15,32,2,1,0.25,0.533,,0,0,2,False
2026-01-05,acct_00205,Growth,APAC,Retail,Partner,138,52,43,48,182,847,33,26,0.6146,0.7668,,846.56,10.96,2,False
2026-01-05,acct_00206,Starter,Latin America,Software,Outbound,95,19,12,16,65,162,7,5,0.375,0.6449,,170.73,1.46,2,False
